Method,Variant,accuracy,f1,n
XGBoost binary,raw,0.51,0.6754966887417219,100
Random Forest binary,raw,0.49,0.10526315789473684,100
SLM (GPT-4o mini),recalculated,0.53,0.6518518518518519,100
SLM (GPT-4o mini),raw,0.49,0.0,100
SLM (Kimi),recalculated,0.51,0.6423357664233577,100
SLM (Kimi),raw,0.61,0.5617977528089888,100
SLM (GPT-4o mini alt),recalculated,0.53,0.6845637583892618,100
SLM (GPT-4o mini alt),raw,0.49,0.0,100
