Method,Accuracy,F1-Macro,F1-alt,F1-both,F1-base,N
Highest Conf Baseline,0.62,0.39100790846373884,0.29333333333333333,0.784452296819788,0.09523809523809523,200
Earlier 3-Class Filter,0.585,0.26588126588126587,0.0,0.7435897435897436,0.05405405405405406,200
XGBoost 2-Stage (Binary + Refiner),0.57,0.41534983104750545,0.38461538461538464,0.7364341085271318,0.125,200
XGBoost 4-Class Multiclass,0.565,0.273209929688621,0.0,0.7326732673267327,0.08695652173913043,200
Native SLM Output,0.155,0.08946608946608947,0.0,0.0,0.2683982683982684,200
