Method,mean_overall_similarity,n,phone_sim,web_sim,address_sim,category_sim
Google API,33.60239946602484,200,13.0,5.0,82.80719839807452,0.0
Scrape + search,63.349910991967334,200,92.5,0.5,97.049732975902,0.0
